number_of_targets,small_fontsize,smallword_length,big_fontsize,bigword_length,distance_between,flash_time,big_lightness,small_lightness,rule
2,21,6,21,6,100,-1,0,3,opposite_on_circle
2,21,6,21,6,200,-1,0,3,opposite_on_circle
2,21,6,21,6,300,-1,0,3,opposite_on_circle
2,21,6,21,6,400,-1,0,3,opposite_on_circle
2,21,6,21,6,500,-1,0,3,opposite_on_circle
2,21,6,21,6,600,-1,0,3,opposite_on_circle
2,21,6,21,6,100,-1,0,6,opposite_on_circle
2,21,6,21,6,200,-1,0,6,opposite_on_circle
2,21,6,21,6,300,-1,0,6,opposite_on_circle
2,21,6,21,6,400,-1,0,6,opposite_on_circle
2,21,6,21,6,500,-1,0,6,opposite_on_circle
2,21,6,21,6,600,-1,0,6,opposite_on_circle
2,21,6,21,6,100,-1,0,12,opposite_on_circle
2,21,6,21,6,200,-1,0,12,opposite_on_circle
2,21,6,21,6,300,-1,0,12,opposite_on_circle
2,21,6,21,6,400,-1,0,12,opposite_on_circle
2,21,6,21,6,500,-1,0,12,opposite_on_circle
2,21,6,21,6,600,-1,0,12,opposite_on_circle
2,21,6,21,6,100,-1,0,18,opposite_on_circle
2,21,6,21,6,200,-1,0,18,opposite_on_circle
2,21,6,21,6,300,-1,0,18,opposite_on_circle
2,21,6,21,6,400,-1,0,18,opposite_on_circle
2,21,6,21,6,500,-1,0,18,opposite_on_circle
2,21,6,21,6,600,-1,0,18,opposite_on_circle
2,21,6,21,6,100,-1,6,9,opposite_on_circle
2,21,6,21,6,200,-1,6,9,opposite_on_circle
2,21,6,21,6,300,-1,6,9,opposite_on_circle
2,21,6,21,6,400,-1,6,9,opposite_on_circle
2,21,6,21,6,500,-1,6,9,opposite_on_circle
2,21,6,21,6,600,-1,6,9,opposite_on_circle
2,21,6,21,6,100,-1,6,12,opposite_on_circle
2,21,6,21,6,200,-1,6,12,opposite_on_circle
2,21,6,21,6,300,-1,6,12,opposite_on_circle
2,21,6,21,6,400,-1,6,12,opposite_on_circle
2,21,6,21,6,500,-1,6,12,opposite_on_circle
2,21,6,21,6,600,-1,6,12,opposite_on_circle
2,21,6,21,6,100,-1,6,18,opposite_on_circle
2,21,6,21,6,200,-1,6,18,opposite_on_circle
2,21,6,21,6,300,-1,6,18,opposite_on_circle
2,21,6,21,6,400,-1,6,18,opposite_on_circle
2,21,6,21,6,500,-1,6,18,opposite_on_circle
2,21,6,21,6,600,-1,6,18,opposite_on_circle
2,21,6,21,6,100,-1,6,24,opposite_on_circle
2,21,6,21,6,200,-1,6,24,opposite_on_circle
2,21,6,21,6,300,-1,6,24,opposite_on_circle
2,21,6,21,6,400,-1,6,24,opposite_on_circle
2,21,6,21,6,500,-1,6,24,opposite_on_circle
2,21,6,21,6,600,-1,6,24,opposite_on_circle
2,21,6,21,6,100,-1,12,15,opposite_on_circle
2,21,6,21,6,200,-1,12,15,opposite_on_circle
2,21,6,21,6,300,-1,12,15,opposite_on_circle
2,21,6,21,6,400,-1,12,15,opposite_on_circle
2,21,6,21,6,500,-1,12,15,opposite_on_circle
2,21,6,21,6,600,-1,12,15,opposite_on_circle
2,21,6,21,6,100,-1,12,18,opposite_on_circle
2,21,6,21,6,200,-1,12,18,opposite_on_circle
2,21,6,21,6,300,-1,12,18,opposite_on_circle
2,21,6,21,6,400,-1,12,18,opposite_on_circle
2,21,6,21,6,500,-1,12,18,opposite_on_circle
2,21,6,21,6,600,-1,12,18,opposite_on_circle
2,21,6,21,6,100,-1,12,24,opposite_on_circle
2,21,6,21,6,200,-1,12,24,opposite_on_circle
2,21,6,21,6,300,-1,12,24,opposite_on_circle
2,21,6,21,6,400,-1,12,24,opposite_on_circle
2,21,6,21,6,500,-1,12,24,opposite_on_circle
2,21,6,21,6,600,-1,12,24,opposite_on_circle
2,21,6,21,6,100,-1,12,30,opposite_on_circle
2,21,6,21,6,200,-1,12,30,opposite_on_circle
2,21,6,21,6,300,-1,12,30,opposite_on_circle
2,21,6,21,6,400,-1,12,30,opposite_on_circle
2,21,6,21,6,500,-1,12,30,opposite_on_circle
2,21,6,21,6,600,-1,12,30,opposite_on_circle
