number_of_targets,small_fontsize,smallword_length,big_fontsize,bigword_length,distance_between,flash_time,rule
3,20,6,21,6,100,300,single_circle
3,20,6,21,6,200,300,single_circle
3,20,6,21,6,300,300,single_circle
3,20,6,21,6,400,300,single_circle
3,20,6,21,6,500,300,single_circle
3,20,6,21,6,600,300,single_circle
3,20,6,22,6,100,300,single_circle
3,20,6,22,6,200,300,single_circle
3,20,6,22,6,300,300,single_circle
3,20,6,22,6,400,300,single_circle
3,20,6,22,6,500,300,single_circle
3,20,6,22,6,600,300,single_circle
3,20,6,21,6,100,-1,single_circle
3,20,6,21,6,200,-1,single_circle
3,20,6,21,6,300,-1,single_circle
3,20,6,21,6,400,-1,single_circle
3,20,6,21,6,500,-1,single_circle
3,20,6,21,6,600,-1,single_circle
3,20,6,22,6,100,-1,single_circle
3,20,6,22,6,200,-1,single_circle
3,20,6,22,6,300,-1,single_circle
3,20,6,22,6,400,-1,single_circle
3,20,6,22,6,500,-1,single_circle
3,20,6,22,6,600,-1,single_circle
4,20,6,21,6,200,300,single_circle
4,20,6,21,6,300,300,single_circle
4,20,6,21,6,400,300,single_circle
4,20,6,21,6,500,300,single_circle
4,20,6,21,6,600,300,single_circle
4,20,6,22,6,100,300,single_circle
4,20,6,22,6,200,300,single_circle
4,20,6,22,6,300,300,single_circle
4,20,6,22,6,400,300,single_circle
4,20,6,22,6,500,300,single_circle
4,20,6,22,6,600,300,single_circle
4,20,6,21,6,200,-1,single_circle
4,20,6,21,6,300,-1,single_circle
4,20,6,21,6,400,-1,single_circle
4,20,6,21,6,500,-1,single_circle
4,20,6,21,6,600,-1,single_circle
4,20,6,22,6,100,-1,single_circle
4,20,6,22,6,200,-1,single_circle
4,20,6,22,6,300,-1,single_circle
4,20,6,22,6,400,-1,single_circle
4,20,6,22,6,500,-1,single_circle
4,20,6,22,6,600,-1,single_circle
5,20,6,21,6,200,300,single_circle
5,20,6,21,6,300,300,single_circle
5,20,6,21,6,400,300,single_circle
5,20,6,21,6,500,300,single_circle
5,20,6,21,6,600,300,single_circle
5,20,6,22,6,100,300,single_circle
5,20,6,22,6,200,300,single_circle
5,20,6,22,6,300,300,single_circle
5,20,6,22,6,400,300,single_circle
5,20,6,22,6,500,300,single_circle
5,20,6,22,6,600,300,single_circle
5,20,6,21,6,200,-1,single_circle
5,20,6,21,6,300,-1,single_circle
5,20,6,21,6,400,-1,single_circle
5,20,6,21,6,500,-1,single_circle
5,20,6,21,6,600,-1,single_circle
5,20,6,22,6,100,-1,single_circle
5,20,6,22,6,200,-1,single_circle
5,20,6,22,6,300,-1,single_circle
5,20,6,22,6,400,-1,single_circle
5,20,6,22,6,500,-1,single_circle
5,20,6,22,6,600,-1,single_circle
